,ruleid,rule,upi,fresp,code,,notes,Codes:
244,1,There is a red,bhdujwkcbn,Must contain red of any size,c,,n - no rule,
245,1,There is a red,pvydutloyc,There must be at least one red pimwit.,c,,m - multiple rules,
246,1,There is a red,oppkyacsnu,The yoks make stars if there is at least one red block.,c,,v - vague (ambiguously specified rule),
247,1,There is a red,diwvecfaqr,There must be green and red colors touching each other,o,,,
248,1,There is a red,xgkqtbnuol,Any cones stacked vertically atop each other as long as its not more than 2 of the same color in the stack.,d,,,
249,1,There is a red,gfskfcekgs,I believe the rule is that there must be at least one green and one red object,o,,,
250,1,There is a red,ueeodbekmp,A pimwit must contain at least two red blocks.,o,,,
251,1,There is a red,qqvfwssvmb,There must be at least one red block.,c,,,
252,1,There is a red,pcebewminm,when there is any two block facing in same direction,d,,,
253,1,There is a red,cmnvimzjrf,There must be at least one red block.,c,,,
254,1,There is a red,eprumtunkk,Any two different color shapes,d,,,
255,1,There is a red,garvmmwjwh,"I think that in for bemmies, stars come out as long as there is a red one the picture. I thought the rule was that they had to be stacked, but I think it was just having a red one in the picture that did it. ",c,,,
256,1,There is a red,oozefhavib,I think if there is a figure inside the red figure stars will come out,c,,,
257,1,There is a red,psbaqbrwjt,At least 1 red object,c,,,
258,1,There is a red,wsuhwfjzbr,There needs to be at least one red block.,c,,,
259,1,There is a red,aezlpkseyg,two on top of each other and one turned sideways.,d,,,
260,1,There is a red,uizgidkvdm,Stars seem to come out of the tigs if there is at least one red tig.,c,,,
261,1,There is a red,nvnrkksmit,One symbol on side and a red in the block,o,,,
262,1,There is a red,walbpcrtau,There should be at least one large red item.,o,,,
263,1,There is a red,toafksdbom,There has to be at least one kova of any size. ,d,,,
264,1,There is a red,xcmvwgxolf,there needs to be one red piece,o,,,
265,1,There is a red,agkyeueoas,There must be at least one red block in the set for the stars to come out.,c,,,
266,1,There is a red,grvepgozqb,Stars will come out when a red kovas is present.,c,,,
267,1,There is a red,hccfdfsuum,only one block has to be small,d,,,
268,1,There is a red,geopmvlndi,I think there has to be at least 1 red pimwit in order for it to work.,c,,,
269,1,There is a red,zbggjxcvuu,a larger one over top of a smaller one,d,,,
270,1,There is a red,iadryrexqo,"I think that tigs show a star if there is at least one red object of any size, regardless if its on its side or upright and regardless of how many other non-red objects there are.",c,,,
271,1,There is a red,vltlpgocqb,A red block has to be touching another block,o,,,
272,1,There is a red,hxgoohdfvi,Stars will come out if any color or amount of block as long as at least two are touching each other.,d,,,
273,1,There is a red,conmvlhlgo,Blocks of different colors must be touching.,d,,,
274,1,There is a red,mznmogndzw,You have to have one color on top of the other and have one red standing on its short side not the long sides. There can be any color on top of each other. The size can be any size as long as there is a red one standing up right pointing up with nothing on top of it.,o,,,
275,1,There is a red,rlthgmsegt,It seemed like I had to have a larger shape for the stars to come out. At least one larger shape was needed and the positioning did not matter,d,,,
276,1,There is a red,xefdssuqsx,I think the rule is that the pimwit will work when there is any red triangle (no matter the size or position of it).,c,,,
277,1,There is a red,mikejpbltc,As long as you have a red yok then stars will come out of them. ,c,,,
278,1,There is a red,wxghchdwtc,I do not know.,n,,,
279,1,There is a red,rzrpjzwpua,There has to be a red triangle in the scene,c,,,
280,1,There is a red,zblqdccjyg,At least 2 kovas are stacked on eachother and both red and green kovas are in the picture. ,o,,,
281,1,There is a red,nsycrlsseg,there is at least one red triangle.,c,,,
282,1,There is a red,qoggilfnyb,i dont know,n,,,
283,1,There is a red,azkqsplqvx,The only rule here (I think) is that there have to be at least two different colored blocks.,d,,,
284,1,There is a red,gxdhieftck,There must be at least one green block and one red block,o,,,
285,1,There is a red,zvqbvbzaox,There needs to be a red triangle.,c,,,
286,1,There is a red,fwbgjmzbof,There must be at least one red block,c,,,
287,1,There is a red,rdsmyidehb,Make your designs lay on the ground as neatly as you can to keep the stars from coming out.,n,,,
288,2,All are the same size,cbkluyqyam,must contain at least three blocks.,d,,,
289,2,All are the same size,cvtwudraqm,When there are i cone from each color of the same size,d,,,
290,2,All are the same size,vlockciwzp,I think the rule is that there has to be two green ones and one of another color,d,,,
291,2,All are the same size,kgbijmrczj,"As long as there is a box of one color, it seems the stars will come out.",d,,,
292,2,All are the same size,vcuqgjegsa,Bemmies must have two greens and one red of any size.,d,,,
293,2,All are the same size,bhdujwkcbn,2 large green items,d,,,
294,2,All are the same size,pvydutloyc,There must be at least one red bemmie.,d,,,
295,2,All are the same size,oppkyacsnu,The bemmies make stars only if they are all the same size.,c,,,
296,2,All are the same size,diwvecfaqr,must have green and red colors,d,,,
297,2,All are the same size,xgkqtbnuol,"Two cones of one color, and one of another, standing vertically.",d,,,
298,2,All are the same size,gfskfcekgs,I believe they all have to be the same size,c,,,
299,2,All are the same size,ueeodbekmp,There must be one block of the same size of two different colors. One of the matching blocks must not be inside another block. ,d,,,
300,2,All are the same size,qqvfwssvmb,all of the blocks must be of the same size.,c,,,
301,2,All are the same size,pcebewminm,"when all are small block
when there is two blue block",d,,,
302,2,All are the same size,cmnvimzjrf,"There can be green and red blocks only, no purple. If green and red are together, they must all be the same size.",d,,,
303,2,All are the same size,eprumtunkk,I have no idea ,n,,,
304,2,All are the same size,garvmmwjwh,"I think the yoks can be any color, but I suspect that they cannot be stacked on each other",d,,,
305,2,All are the same size,oozefhavib,They need to be the same size  for the stars to come out,c,,,
306,2,All are the same size,psbaqbrwjt,All objects must be the same size,c,,,
307,2,All are the same size,wsuhwfjzbr,I do not know the special rule for tigs.,n,,,
308,2,All are the same size,aezlpkseyg,Two triangles side by side with another triangle to the side of them with a space in between. all of the same size.,o,,,
309,2,All are the same size,uizgidkvdm,Stars seem to come out of the yoks if they are all the same size.,c,,,
310,2,All are the same size,nvnrkksmit,"All the symbols have to be the same size,",c,,,
311,2,All are the same size,walbpcrtau,The characters should be of same size.,c,,,
312,2,All are the same size,toafksdbom,"Tigs will come out when two large ones, no matter the color, are touching. ",d,,,
313,2,All are the same size,xcmvwgxolf,all pieces need to be the same size,c,,,
314,2,All are the same size,agkyeueoas,The blocks must all be the same size for the stars to come out.,c,,,
315,2,All are the same size,grvepgozqb,Stars will come out when no more than two colors of pimwits are present.,d,,,
316,2,All are the same size,hccfdfsuum,All blocks should be same size,c,,,
317,2,All are the same size,geopmvlndi,"I think they need to be all the same size in order for the stars to come out. I thought the colors might matter, but Im not sure.",c,,,
318,2,All are the same size,zbggjxcvuu,"same size ones pointing upwards
",o,,,
319,2,All are the same size,iadryrexqo,"I think bemmies show stars if each of the blocks is the same size, regardless of color, orientation(such as upright or on its side) or how many objects there are, as long as they are exactly the same size.",c,,,
320,2,All are the same size,vltlpgocqb,No more than 2 of the same color,d,,,
321,2,All are the same size,hxgoohdfvi,Any amount or color of blocks will shoot stars as long as they are not touching each other.,d,,,
322,2,All are the same size,conmvlhlgo,All the blocks are the same size.,c,,,
323,2,All are the same size,mznmogndzw,There has to be a red and two green angles pointing up and not on their sides. ,d,,,
324,2,All are the same size,rlthgmsegt,"It seemed like if it was a large triangle or if it included green or blue, stars always came out",d,,,
325,2,All are the same size,xefdssuqsx,"I think the rule is that bemmies come out if there is at least one green triangle, but the green triangle has to be in an upright position (cant be angled)",d,,,
326,2,All are the same size,mikejpbltc,"I think only the largest of the bemmies will make the stars shoot out, as long as you all the largest ones are in there it will go off",v,,,
327,2,All are the same size,wxghchdwtc,The bemmies all had to be the same size.,c,,,
328,2,All are the same size,rzrpjzwpua,"They can not touch each other, have to separated.",d,,,
329,2,All are the same size,zblqdccjyg,All the yoks are the same size. ,c,,,
330,2,All are the same size,nsycrlsseg,There is no small triangle.,d,,,
331,2,All are the same size,qoggilfnyb,i dont know,n,,,
332,2,All are the same size,azkqsplqvx,I only picked one on the last screen because I had to pick at least one.  The only rule I could find is that there had to be only one of the largest blocks and it had to be right-side-up.,d,,,
333,2,All are the same size,gxdhieftck,The green block must be placed next to red block,d,,,
334,2,All are the same size,zvqbvbzaox,the triangles cannot touch each other,d,,,
335,2,All are the same size,fwbgjmzbof,All of the blocks must be the same size,c,,,
336,2,All are the same size,rdsmyidehb,"No two designs are the same, play with the blocks and see what happens.",n,,,
337,3,Nothing is upright,cbkluyqyam,the block must touch at least one other block and must not be standing upright.,o,,,
338,3,Nothing is upright,cvtwudraqm,When the blue cone is the smallest and laying on its side,d,,,
339,3,Nothing is upright,vlockciwzp,There has to be two of the same color pointing at one of another color.,d,,,
340,3,Nothing is upright,kgbijmrczj,I have no idea.,n,,,
341,3,Nothing is upright,vcuqgjegsa,Tigs must have two red pieces that are touching and one blue piece on its side,d,,,
342,3,Nothing is upright,bhdujwkcbn,A large red on its side,d,,,
343,3,Nothing is upright,pvydutloyc,Yoks must not point upward. They must be tilted or placed on their side.,c,,,
344,3,Nothing is upright,oppkyacsnu,The pimwits make stars only if none of the blocks are upright.,c,,,
345,3,Nothing is upright,diwvecfaqr,must have two reds and one blue,d,,,
346,3,Nothing is upright,xgkqtbnuol,At least three blocks have to be horizontal,d,,,
347,3,Nothing is upright,gfskfcekgs,I believe the rule is no object is pointing up or overlapping,u,,,
348,3,Nothing is upright,ueeodbekmp,All the blocks must be tilted.,c,,,
349,3,Nothing is upright,qqvfwssvmb,There must be one big red block.,d,,,
350,3,Nothing is upright,pcebewminm,"when there is only red block
when there is no blue block",d,,,
351,3,Nothing is upright,cmnvimzjrf,"There can only be red and purple blocks, no greens.",d,,,
352,3,Nothing is upright,eprumtunkk,I have not idea,n,,,
353,3,Nothing is upright,garvmmwjwh,"I think there has to be a blue pimwit on its side, either by itself or with a red one. ",d,,,
354,3,Nothing is upright,oozefhavib,"I think if there are 2 different color figures pointing to opposite sides, the starts will come out.",d,,,
355,3,Nothing is upright,psbaqbrwjt,Objects of the same size and color touching,d,,,
356,3,Nothing is upright,wsuhwfjzbr,Two of the blocks must be touching.,d,,,
357,3,Nothing is upright,aezlpkseyg,I dont know. three triangles with two propped sideways against each other and the other off to the side sideways?,d,,,
358,3,Nothing is upright,uizgidkvdm,Stars seem to come out if none of the bemmies are facing straight up.,c,,,
359,3,Nothing is upright,nvnrkksmit,There must be two blocks leaning on each other.,d,,,
360,3,Nothing is upright,walbpcrtau,There should be a small blue item.,d,,,
361,3,Nothing is upright,toafksdbom,The yok for sure cant be straight up and down. I only tested the blue so Im not sure if it applies to other colors as well. ,o,,,
362,3,Nothing is upright,xcmvwgxolf,at least one needs to by lying with one side on the ground,d,,,
363,3,Nothing is upright,agkyeueoas,There can not be any blocks standing up straight if you want stars to come out.,c,,,
364,3,Nothing is upright,grvepgozqb,"Stars will come out when a red tig is present and not pointed vertically, only in the presence of a blue tig.",d,,,
365,3,Nothing is upright,hccfdfsuum,I have no idea,n,,,
366,3,Nothing is upright,geopmvlndi,I think there has to be at least 2 kovas that are touching or resting on the other piece.,d,,,
367,3,Nothing is upright,zbggjxcvuu,"because each one is angled, not straight up and down",c,,,
368,3,Nothing is upright,iadryrexqo,"I think the kovas will shoot stars only if none of the objects are pointing too straight in the air, they can point someone in the air, but it has to be at a shallow angle, if the angle is too sharp upwards, the star will not show.",c,,,
369,3,Nothing is upright,vltlpgocqb,There has to be at least one laying sideways on the ground,d,,,
370,3,Nothing is upright,hxgoohdfvi,I dont know.,n,,,
371,3,Nothing is upright,conmvlhlgo,It must contain a small and large block of different colors.,d,,,
372,3,Nothing is upright,mznmogndzw,The rule is that all the color angles cant be standing up right pointing up. They all have to be on their long sides not on their short side and it can be any sizes and any color as long as they are not standing on their short side of the angle.,c,,,
373,3,Nothing is upright,rlthgmsegt,It seemed like the yoks had to be on their sides for the stars to come out.,c,,,
374,3,Nothing is upright,xefdssuqsx,I believe Tigs work as long as there is at least one red triangle (any size).,d,,,
375,3,Nothing is upright,mikejpbltc,You have to have at least a large red pimwits and at least one blue pimwits for the starts to shoot out. ,d,,,
376,3,Nothing is upright,wxghchdwtc,All of the yoks had to be tilted onto their side regardless of size or color. ,c,,,
377,3,Nothing is upright,rzrpjzwpua,All the blocks have to be at an angle from their base.,c,,,
378,3,Nothing is upright,zblqdccjyg,"All Bemmies are laying down, not upright and standing. ",o,,,
379,3,Nothing is upright,nsycrlsseg,There is at least one blue and no green triangle.,d,,,
380,3,Nothing is upright,qoggilfnyb,i dont know,n,,,
381,3,Nothing is upright,azkqsplqvx,There can be no more than three blocks present and at least one has to be on its side.,d,,,
382,3,Nothing is upright,gxdhieftck,two red large blocks must touch each other ,d,,,
383,3,Nothing is upright,zvqbvbzaox,all triangles have to be on their side,c,,,
384,3,Nothing is upright,fwbgjmzbof,I do not know,n,,,
385,3,Nothing is upright,rdsmyidehb,"This is difficult, do your best to make the triangles fall on their sides to make the stars come out.",c,,,
386,4,One is blue,cbkluyqyam,"must contain more that one color, must touch at least one block and must include  at least one small block",d,,,
387,4,One is blue,cvtwudraqm,When there is only one green cone present,d,,,
388,4,One is blue,vlockciwzp,There has to be one or more of red and green but only one blue.,o,,,
389,4,One is blue,kgbijmrczj,There needs to be a blue combined with another color but there cant be two of the same color.,o,,,
390,4,One is blue,vcuqgjegsa,Kovas must have at least one blue and one green piece.,d,,,
391,4,One is blue,bhdujwkcbn,Need one of each color to be present,d,,,
392,4,One is blue,pvydutloyc,There must be one blue kovas. There cannot be more than one.,o,,,
393,4,One is blue,oppkyacsnu,The kovas make stars only if there is at least one blue block.,u,,,
394,4,One is blue,diwvecfaqr,must be touching or not touching of a different color,d,,,
395,4,One is blue,xgkqtbnuol,No more than one blue and one green?,o,,,
396,4,One is blue,gfskfcekgs,I think it might be if there is exactly one blue in the image,c,,,
397,4,One is blue,ueeodbekmp,A Tig must include one block of each different color and at lest two different sizes. ,d,,,
398,4,One is blue,qqvfwssvmb,there must be one block of each color.,d,,,
399,4,One is blue,pcebewminm,when there is  different type of size in all color,d,,,
400,4,One is blue,cmnvimzjrf,There can only be one purple block (no more than one) plus any of the other colored blocks.,c,,,
401,4,One is blue,eprumtunkk,i have no idea,n,,,
402,4,One is blue,garvmmwjwh,"For the tigs, you need to have at least one tig of each color for the stars to come out",d,,,
403,4,One is blue,oozefhavib,There has to be a blue figure present to make the stars come out,u,,,
404,4,One is blue,psbaqbrwjt,I do not know,n,,,
405,4,One is blue,wsuhwfjzbr,There has to be at least one red or blue block touching another block.,d,,,
406,4,One is blue,aezlpkseyg,Three triangles with one sitting sideways against another.,d,,,
407,4,One is blue,uizgidkvdm,Stars seem to come out of pimwits if there is at least one blue pimwits.,u,,,
408,4,One is blue,nvnrkksmit,Each block must have at least one of each color,d,,,
409,4,One is blue,walbpcrtau,Because I think the red target should be lrger than the blue.,d,,,
410,4,One is blue,toafksdbom,"There has to be at least one blue bemmie in the box, any size will work. ",u,,,
411,4,One is blue,xcmvwgxolf,one piece has to be leaning on another,d,,,
412,4,One is blue,agkyeueoas,There must be one blue block in order for the stars to come out.  The other block colors do not matter. ,c,,,
413,4,One is blue,grvepgozqb,Star will come out when there is only one blue yok.,c,,,
414,4,One is blue,hccfdfsuum,different colors ,d,,,
415,4,One is blue,geopmvlndi,I think it requires all three color variations and at least one to be tilted or on its side.,d,,,
416,4,One is blue,zbggjxcvuu,some up and some are sideways,v,,,
417,4,One is blue,iadryrexqo,"I think the rule for how pimwits work is that any combination of four objects, regardless of color, size, orientation, will show stars, any more than four and it will not show a star.",d,,,
418,4,One is blue,vltlpgocqb,There has to be at least 1 blue,u,,,
419,4,One is blue,hxgoohdfvi,"I think that bennies shoot stars out of them as long as a block of each color (one red, one green, one blue) is used no matter what size or how they are placed.",d,,,
420,4,One is blue,conmvlhlgo,The blocks cant be all one color or only red and green.,d,,,
421,4,One is blue,mznmogndzw,The red cant be pointing upright but can be on its long sides and there has to be a small green and a big blue with the red one.,d,,,
422,4,One is blue,rlthgmsegt,"I could not really tell for this one. The triangles that included blue or red always seemed to have stars come out , but I am not 100% sure.",u,,,
423,4,One is blue,xefdssuqsx,I think there has to be at least one blue triangle and one green triangle (of any size and position),d,,,
424,4,One is blue,mikejpbltc,As long as you have at least one blue tig but no more then 2 blue tigs then the stars will come out. ,u,,,
425,4,One is blue,wxghchdwtc,All three colors of the pimwits had to be present for the stars to show.,d,,,
426,4,One is blue,rzrpjzwpua,There has to be a blue triangle in the scene.,u,,,
427,4,One is blue,zblqdccjyg,All tigs are a different color.,d,,,
428,4,One is blue,nsycrlsseg,There is at least one blue triangle.,u,,,
429,4,One is blue,qoggilfnyb,very great,n,,,
430,4,One is blue,azkqsplqvx,There has to be at least one right-side-up blue block.,d,,,
431,4,One is blue,gxdhieftck,There must be at least one blue block,u,,,
432,4,One is blue,zvqbvbzaox,I think there has to be one blue triangle.,c,,,
433,4,One is blue,fwbgjmzbof,There must be only one blue block,c,,,
434,4,One is blue,rdsmyidehb,They can be in more shapes than z or x.,v,,,
435,5,There is a small blue,cbkluyqyam,at least green block must be present.,d,,,
436,5,There is a small blue,cvtwudraqm,When a block of the same size or color is over the top of another ,d,,,
437,5,There is a small blue,vlockciwzp,There has to be at least two blues and one green,d,,,
438,5,There is a small blue,kgbijmrczj,Needs to be a small and medium sized blue one.,o,,,
439,5,There is a small blue,vcuqgjegsa,Pimwits must have at least two blue pieces,d,,,
440,5,There is a small blue,bhdujwkcbn,Must contain one small blue block,c,,,
441,5,There is a small blue,pvydutloyc,There must be at least one small blue tig.,c,,,
442,5,There is a small blue,oppkyacsnu,The tigs make stars only if there are multiple small blocks.,d,,,
443,5,There is a small blue,diwvecfaqr,muliple blocks touching,d,,,
444,5,There is a small blue,xgkqtbnuol,At least 5 vertical cones.,d,,,
445,5,There is a small blue,gfskfcekgs,I believe the rule is that there must be a medium green and a small blue in the image,o,,,
446,5,There is a small blue,ueeodbekmp,A yok must contain 3 different sized green blocks and at least one blue block or 3 different sized blue blocks and at least one green block. ,d,,,
447,5,There is a small blue,qqvfwssvmb,There must be one small blue block.,c,,,
448,5,There is a small blue,pcebewminm,"when there is one small blue block
when there is two green and two red
when there is no green",u,or o if this all needs to apply?,,
449,5,There is a small blue,cmnvimzjrf,There must be at least one purple block.,u,,,
450,5,There is a small blue,eprumtunkk,i have no idea,n,,,
451,5,There is a small blue,garvmmwjwh,"I think for the kovas, there just has to be a small blue one in the picture",c,,,
452,5,There is a small blue,oozefhavib,I dont know. ,n,,,
453,5,There is a small blue,psbaqbrwjt,"All the green blocks are as big or bigger than the blue blocks, with at least one blue block",u,,,
454,5,There is a small blue,wsuhwfjzbr,There has to be a small blue triangle present.,c,,,
455,5,There is a small blue,aezlpkseyg,I dont know.,n,,,
456,5,There is a small blue,uizgidkvdm,Stars seem to come out of kovas if there is at least one small blue kovas.,c,,,
457,5,There is a small blue,nvnrkksmit,Each must have a small and a medium blue block,o,,,
458,5,There is a small blue,walbpcrtau,There should be one large green target and two small targets of another color.,d,,,
459,5,There is a small blue,toafksdbom,There needs to be a small or medium pimwit. ,d,,,
460,5,There is a small blue,xcmvwgxolf,there has to be a small blue,c,,,
461,5,There is a small blue,agkyeueoas,There must be at least one little blue block to make the stars come out.,c,,,
462,5,There is a small blue,grvepgozqb,A green bemmie must be larger than all blue bemmies.,d,,,
463,5,There is a small blue,hccfdfsuum,All blocks should be small,d,,,
464,5,There is a small blue,geopmvlndi,I think there has to be at least 2 blue tigs for the stars to come out.,d,,,
465,5,There is a small blue,zbggjxcvuu,"i dont know, stumped",n,,,
466,5,There is a small blue,iadryrexqo,"I think that yoks show a star as long as as there is at least one blue object, and at least two green objects. So, if there was one green object and no blue object, there would be no star, but if there were two green, one blue and 0 to any number of red, there would be a star.",d,,,
467,5,There is a small blue,vltlpgocqb,A small blue triangle has to be present,c,,,
468,5,There is a small blue,hxgoohdfvi,I think there has two be at least one small block and one larger block touchingeach other and at least three blocks pointing straight up.,d,,,
469,5,There is a small blue,conmvlhlgo,It must contain at least five blocks.,d,,,
470,5,There is a small blue,mznmogndzw,blue triangle has to be standing up not on the sides.,d,,,
471,5,There is a small blue,rlthgmsegt,"It was hard to say , but I think if I included medium or smaller sized items, stars would come out. All large seemed to not work.",u,,,
472,5,There is a small blue,xefdssuqsx,"There has to be one small blue triangle, and it has to be in an upright position",o,,,
473,5,There is a small blue,mikejpbltc,You have to have at least one small blue kovas in order for the stars to shoot out. ,c,,,
474,5,There is a small blue,wxghchdwtc,I do not know. ,n,,,
475,5,There is a small blue,rzrpjzwpua,There needs to be a small blue triangle.,c,,,
476,5,There is a small blue,zblqdccjyg,I do not know,n,,,
477,5,There is a small blue,nsycrlsseg,There is at least one small green triangle.,d,,,
478,5,There is a small blue,qoggilfnyb,i dont know,n,,,
479,5,There is a small blue,azkqsplqvx,The smallest blue block has to be present and one block has to be inside another block.,o,,,
480,5,There is a small blue,gxdhieftck,there must be at least one small blue block,c,,,
481,5,There is a small blue,zvqbvbzaox,There has to be at least a small triangle.,u,,,
482,5,There is a small blue,fwbgjmzbof,There must be a small blue block,c,,,
483,5,There is a small blue,rdsmyidehb,"The crazier the design, the better your chances.",n,,,
,1,There is a red,qcgxizxcem,A red block must be being touched by another block.,d,,,
,2,All are the same size,qcgxizxcem,bloks must be standing and no stack,d,,,
,3,Nothing is upright,qcgxizxcem,Two sideways blocks must be touching,d,,,
,4,One is blue,qcgxizxcem,"I think blue must be the most common color, and there must be a medium blue block.",d,,,
,5,There is a small blue,qcgxizxcem,At least two blocks must be blue.,d,,,